# Segments csv adapted from original eval_segments provided by audioset
"# num_ytids=Dunno, num_segs=Dunno, num_unique_labels=Dunno, num_positive_labels=Dunno"
"# YTID, start_seconds, end_seconds, positive_labels"
"--diQGtdz9Q, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-2ni2KI5S5A, 0.000, 9.000, ""/m/04rlf,/m/07pbtc8,/m/09x0r"""
"-348xNtRl18, 30.000, 40.000, ""/m/07pbtc8"""
"-3gGYJtngHU, 110.000, 120.000, ""/m/07jdr,/m/07pbtc8,/m/07yv9"""
"-4-QVR0Ymig, 9.000, 19.000, ""/m/07pbtc8"""
"-7ITb2QLsvg, 30.000, 40.000, ""/m/07pbtc8"""
"-8PwGM13Eqo, 7.000, 17.000, ""/m/07pbtc8"""
"-9aXOM95S0k, 30.000, 40.000, ""/m/04rlf,/m/07pbtc8,/m/09x0r"""
"-A-b7uh42Qg, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-A9bKRkhJo0, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-AJ_d9Lwzx4, 30.000, 40.000, ""/m/04rlf,/m/07pbtc8"""
"-AiHynA102I, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-Aju52dKCf0, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-AmwF0ozTs4, 30.000, 40.000, ""/m/07pbtc8"""
"-BHAvsj6bzw, 30.000, 40.000, ""/m/07pbtc8"""
"-BXNxWauGhs, 30.000, 40.000, ""/m/07pbtc8"""
"-BYSxtDdTx4, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-CfkhQsKSsA, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-D1XPDJnPlw, 30.000, 40.000, ""/m/07pbtc8"""
"-Dhp4Lcw12E, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-DqsVIiB-TU, 5.000, 15.000, ""/m/07pbtc8"""
"-E6AEShmE7M, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-EOInz9LxrA, 28.000, 38.000, ""/m/07pbtc8"""
"-EQ-6Ix1vVw, 11.000, 21.000, ""/m/07pbtc8"""
"-EcW-ViCG3o, 30.000, 40.000, ""/m/04rlf,/m/07pbtc8,/m/09x0r"""
"-Ecd3FkFgr4, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-Eqn2EJLG_E, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-Ezr-1IVfFw, 30.000, 40.000, ""/m/07pbtc8"""
"-GieWb6i-fs, 30.000, 40.000, ""/m/07pbtc8"""
"-H1PfZ9I4CI, 14.000, 24.000, ""/m/07pbtc8,/m/09x0r"""
"-H2k7-6ZXms, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-HEV_kV--eM, 30.000, 40.000, ""/m/07pbtc8"""
"-HVokTN5Xbo, 30.000, 40.000, ""/m/07pbtc8"""
"-HnhA4dKbGQ, 30.000, 40.000, ""/m/07pbtc8"""
"-ITNze-n8q8, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-InuYmUfif0, 40.000, 50.000, ""/m/07pbtc8,/m/09x0r"""
"-K5NbVkcOXc, 30.000, 40.000, ""/m/07pbtc8"""
"-KQ5_XQyKH4, 100.000, 110.000, ""/m/07pbtc8"""
"-LILO5N1zOc, 30.000, 40.000, ""/m/07pbtc8"""
"-LKI6x2wAx8, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-Ly8Pe1J4Jk, 30.000, 40.000, ""/m/07pbtc8"""
"-M5eQgrrayM, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-M7t3m9uSJA, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-MEADIu1Ahk, 30.000, 40.000, ""/m/07pbtc8"""
"-MIiV0tvMjA, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-MJ8-W9eK5o, 3.000, 13.000, ""/m/07pbtc8,/m/09x0r"""
"-MQQ4XMmcKo, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-MjfyD_DCKQ, 0.000, 10.000, ""/m/07pbtc8,/m/09x0r"""
"-MmMjzwzEmw, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-MmobZaXQc8, 30.000, 40.000, ""/m/07pbtc8"""
"-NF9olku2uc, 30.000, 40.000, ""/m/04rlf,/m/07pbtc8"""
"-Nwrsm_aHAg, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-NxyoXAH5no, 30.000, 40.000, ""/m/07pbtc8"""
"-O2eQSHRSic, 26.000, 36.000, ""/m/07pbtc8,/m/09x0r"""
"-OSQgvBIQc4, 28.000, 38.000, ""/m/07pbtc8,/m/09x0r"""
"-OTCLhPPHDI, 11.000, 21.000, ""/m/07pbtc8,/m/09x0r"""
"-OWYKl4AawI, 560.000, 570.000, ""/m/07pbtc8,/m/09x0r"""
"-OX1rJwBe2A, 30.000, 40.000, ""/m/04rlf,/m/07pbtc8,/m/09x0r"""
"-PZ_m5yz-9w, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-PojtMblSrM, 14.000, 24.000, ""/m/07pbtc8,/m/09x0r"""
"-Q7dmNjHyyI, 70.000, 80.000, ""/m/04_sv,/m/07pbtc8,/m/07yv9"""
"-QCaFjYxPd0, 30.000, 40.000, ""/m/04rlf,/m/07pbtc8"""
"-QJ-qXUarKc, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-QJWqyR7zgs, 30.000, 40.000, ""/m/04rlf,/m/07pbtc8"""
"-Q_A6ddxb0U, 30.000, 40.000, ""/m/04rlf,/m/07pbtc8,/m/09x0r"""
"-RGaH4jkrwM, 30.000, 40.000, ""/m/04rlf,/m/07pbtc8"""
"-RHlYEquKkU, 30.000, 40.000, ""/m/04rlf,/m/07pbtc8,/m/09x0r"""
"-RybT3dQuTI, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-SPdg0RhD2I, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-SoeFWr7TEk, 20.000, 30.000, ""/m/07pbtc8,/m/09x0r"""
"-TV_M5ay4eU, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-TZhVk61xXI, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-UrcZc7pKlo, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-VUdudk-izo, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-Vc2WXGtk0Q, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-W0mMD5MVKQ, 1.000, 11.000, ""/m/04rlf,/m/07pbtc8"""
"-Wd2GldhRYQ, 30.000, 40.000, ""/m/07pbtc8"""
"-WqrgrwUDhM, 30.000, 40.000, ""/m/07pbtc8"""
"-X2wAg5bRXw, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-Xd9ieszxvA, 130.000, 140.000, ""/m/07pbtc8"""
"-YJgT2Wd6p4, 28.000, 38.000, ""/m/07pbtc8"""
"-YPpRYc3rUs, 30.000, 40.000, ""/m/07pbtc8"""
"-Z0OfTAK5VU, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-ZOfdlNZvYs, 30.000, 40.000, ""/m/04rlf,/m/07pbtc8,/m/09x0r"""
"-ZVomHIh7u0, 11.000, 21.000, ""/m/07pbtc8"""
"-_FyIqiBiHQ, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-_mfb_x_Es0, 11.000, 21.000, ""/m/07pbtc8"""
"-_xggO0ruBs, 30.000, 40.000, ""/m/04rlf,/m/07pbtc8"""
"-aUzd1El1Mk, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-aYGziNrpAI, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-b-p3TA384U, 30.000, 40.000, ""/m/07pbtc8"""
"-b2VxgQahYI, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-bDPsQGcvVw, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-biKUO1kj2U, 30.000, 40.000, ""/m/04rlf,/m/07pbtc8,/m/09x0r"""
"-cWvu5E61XA, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-d7-hJ2T5t8, 18.000, 28.000, ""/m/07pbtc8,/m/09x0r"""
"-dDwiiKYA94, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-dPxGMUyyZ4, 30.000, 40.000, ""/m/04rlf,/m/07pbtc8,/m/09x0r"""
"-dyC8nm8MqI, 0.000, 8.000, ""/m/07pbtc8,/m/09x0r"""
"-eZXZU4L2ng, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-ebNEpc04dA, 30.000, 40.000, ""/m/07pbtc8,/m/09x0r"""
"-eiz-vShnpQ, 11.000, 21.000, ""/m/07pbtc8,/m/09x0r"""
